hidden_dim,num_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,patience,best_epoch,train_rmse,train_r2,train_pearson,val_rmse,val_r2,val_pearson,test_rmse,test_r2,test_pearson,trial,elapsed_seconds
256,6,0.05,0.0005,1e-05,32,300,50,31,0.4097524017149552,0.8380317091941833,0.9294496850999988,0.5254282033875364,0.6525306105613708,0.8114142874545424,0.6963567072256835,0.23468327522277832,0.6371025438348248,221,115.03
128,6,0.2,0.0005,1e-06,32,300,50,89,0.4431457340893815,0.8105562925338745,0.9076746728460736,0.5461809113324783,0.6245408058166504,0.7973933643721901,0.7140563630689682,0.1952839493751526,0.6327943023188056,157,123.68
128,6,0.15,0.001,0.0001,32,300,50,56,0.4120192225772702,0.8362346887588501,0.920421829110023,0.5519850271499016,0.616518497467041,0.7943948081457377,0.7903464418410437,0.01414579153060913,0.5998546906559223,153,94.03
128,4,0.05,0.001,0.0001,32,300,50,42,0.3787321890366555,0.8616269826889038,0.9391730073268968,0.5575936708318244,0.6086859703063965,0.7886639453227179,0.7213540794473496,0.17875134944915771,0.629647293207384,117,60.96
64,6,0.05,0.001,1e-06,32,300,50,40,0.42179998861238693,0.828367292881012,0.9125152611496127,0.5618013705849692,0.6027578115463257,0.7870025227674975,0.6741500748791958,0.28271645307540894,0.6403678214689069,61,74.75
64,6,0.15,0.001,1e-06,32,300,50,45,0.49537821854193853,0.7632659077644348,0.8879993193815316,0.5675227768986338,0.5946255922317505,0.7948783342332246,0.6831775597248848,0.26337766647338867,0.6725240584319102,70,90.1
128,6,0.15,0.001,1e-05,32,300,50,51,0.4408722576048493,0.8124951720237732,0.9091910305132238,0.5688678263088507,0.59270179271698,0.7769660659977082,0.7269971634338536,0.16585201025009155,0.6043447962246378,152,89.35
128,6,0.2,0.0005,0.0001,32,300,50,58,0.4957838066460745,0.7628781199455261,0.8942771232862352,0.5760913339993063,0.5822923183441162,0.7763699947608618,0.6560859929366851,0.3206411600112915,0.6855224499670767,159,97.38
256,4,0.05,0.0005,0.0001,32,300,50,32,0.4831375342762741,0.7748206853866577,0.923323962405984,0.5765241677378932,0.5816644430160522,0.7906358630283261,0.7870057371456325,0.02246236801147461,0.6086948891985622,195,84.53
64,6,0.15,0.001,0.0001,32,300,50,75,0.46533291187183035,0.7911115288734436,0.9010054775804759,0.5767714403546679,0.5813055038452148,0.7724443309713713,0.6755710561568526,0.2796894907951355,0.6432912843953908,72,120.31
256,6,0.15,0.0005,0.0001,32,300,50,46,0.3931215993858472,0.8509126901626587,0.9229779230859826,0.583226812945785,0.5718808174133301,0.7856013918287728,0.6901091137594767,0.2483542561531067,0.6562833339292943,231,138.28
128,6,0.05,0.001,1e-06,32,300,50,50,0.31749801892315827,0.9027546048164368,0.962584043056951,0.5832413759865281,0.5718593597412109,0.7814928479883415,0.712978493487853,0.1977115273475647,0.6532897906138123,142,87.76
128,6,0.15,0.0005,0.0001,32,300,50,49,0.4525051645911531,0.8024695515632629,0.8985375581482486,0.5832664644424909,0.5718225240707397,0.7757682541156963,0.7046908215700348,0.21625477075576782,0.6197916801797076,150,87.26
256,2,0.2,0.001,1e-05,32,300,50,65,0.39552171470792374,0.8490866422653198,0.9271229302928754,0.5834105871906635,0.5716109275817871,0.7876441726791745,0.8087089567073128,-0.032196044921875,0.6090041534550981,188,74.49
128,2,0.05,0.001,1e-05,32,300,50,46,0.31310351031527756,0.9054279327392578,0.9562709535373792,0.5868116597291368,0.5666016340255737,0.785328175347077,0.7313793035448067,0.15576565265655518,0.6394759297603283,89,30.19
64,4,0.05,0.001,1e-05,32,300,50,42,0.3973476614030158,0.8476900458335876,0.9279411028269283,0.5869084515041559,0.5664587020874023,0.7697162520174338,0.7613491628919702,0.08515942096710205,0.5981182961137919,35,40.88
64,4,0.05,0.001,1e-06,32,300,50,39,0.4236329679721883,0.8268723487854004,0.9195186623940355,0.5904798551364607,0.5611663460731506,0.7640846013115602,0.7341319554494852,0.14939892292022705,0.6025937490676665,34,38.88
64,2,0.05,0.0005,1e-05,32,300,50,51,0.4717670778307694,0.7852950096130371,0.8999344414846744,0.5921298056808704,0.5587104558944702,0.7613471776057408,0.7093953184335228,0.2057552933692932,0.6409467129321849,5,46.27
256,4,0.2,0.0005,1e-05,32,300,50,41,0.4836150175480709,0.7743753790855408,0.8867383437873595,0.5935665650354565,0.5565663576126099,0.7629946111894295,0.666963814038365,0.2979270815849304,0.6622280119483454,212,94.12
64,4,0.2,0.0005,1e-06,32,300,50,72,0.5420962671920874,0.7165086269378662,0.8546565063078974,0.5953420076040884,0.5539096593856812,0.753865301929304,0.655653114443349,0.3215373754501343,0.6628491836741625,49,76.92
256,4,0.05,0.0005,1e-05,32,300,50,45,0.3258035944861851,0.8976002931594849,0.9489828658038436,0.5959432149372015,0.5530081987380981,0.769978592353034,0.7243582812297942,0.17189663648605347,0.6245481021832233,194,97.92
128,6,0.15,0.001,1e-06,32,300,50,35,0.5143396077083423,0.7447963356971741,0.869031679605279,0.5987368270842527,0.5488076210021973,0.7488764051103235,0.6550141914664838,0.322858989238739,0.6290889733417325,151,75.76
64,6,0.15,0.0005,1e-05,32,300,50,99,0.4065122124947717,0.8405832052230835,0.9184314137318369,0.6004936829710338,0.5461559295654297,0.7591903662335722,0.7419260869678374,0.13124167919158936,0.5916248384325891,68,141.3
